Date,Country,Confirmed,Deaths,Recovered,Active
2023-01-15,USA,101648826,1099860,0,0
2023-01-15,India,44682378,530726,0,0
2023-01-15,Brazil,36628099,695343,0,0
2023-01-15,France,39646833,164388,0,0
2023-01-15,Germany,37605135,163775,0,0
2023-01-15,UK,24475895,215633,0,0
2023-01-15,Italy,25363742,185993,0,0
2023-01-15,Japan,31438775,62687,0,0
2023-01-15,South Korea,29821035,32984,0,0
2023-01-15,Australia,11247412,17712,0,0
